+--------------------------------------------------------------------------------------------------------+--------+-------------+------------+----------+
| SCOPE:NAME                                                                                             | GUID   | ADLER32     | FILESIZE   | EVENTS   |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4bc6cd96-4dc8-4bdc-b41e-45916ae0d28d.root   | (None) | ad:ed49c3f3 | 3.051 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4bc6d05a-e6e7-44a8-aead-994a2bd91390.root   | (None) | ad:e8e9059c | 4.146 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4d819da4-475b-4e9a-88c4-9295915a1cd9.root   | (None) | ad:175dd705 | 4.037 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4d9c56de-ef72-4608-9eab-9ce0750ab750.root   | (None) | ad:8d75bf76 | 3.782 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4dbd5520-6f15-418a-94d9-726045c69882.root   | (None) | ad:d0d58862 | 3.512 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4f5c0669-6a86-4713-8c5d-1687406e1a7e.root   | (None) | ad:afb3c511 | 3.072 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4fa7e9dd-cdd8-4254-914b-f8135f2f1dcc.root   | (None) | ad:fcef9b2f | 3.818 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/50aff90d-ce85-4603-94aa-caa4f8c41ee0.root   | (None) | ad:4f25b63f | 3.062 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/517beb1c-a620-4eaa-a216-db9bc3ebd687.root   | (None) | ad:56625ac0 | 3.945 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/51e42365-a79b-4559-b2fd-50a74961dee6.root   | (None) | ad:ee8d10d2 | 3.993 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/530d99e9-d6b2-444e-9b0c-6c8e18366ae0.root   | (None) | ad:2d4d198d | 4.295 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/536f7389-1e62-4074-a6bd-9520982dc0bb.root   | (None) | ad:2e6831eb | 4.065 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/537cffa8-53c4-462b-bd98-abeb9c991db7.root   | (None) | ad:7170cc60 | 3.150 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/53b80b15-087a-4e9d-ad1d-2f705d107f52.root   | (None) | ad:3469f663 | 4.000 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/54ad73eb-724f-4ed6-bd71-7ad523e0c46e.root   | (None) | ad:09961990 | 3.485 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5513f18e-e202-41ac-9827-d360d4b3ba1e.root   | (None) | ad:a273b497 | 4.177 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/554b7f27-d978-450f-a25f-db56ec2b07e7.root   | (None) | ad:9a36f4bb | 2.817 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/55c98769-316d-4c1c-b4dd-34b8fba25a29.root   | (None) | ad:e0086424 | 4.234 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/58356969-a095-44b9-9862-b649017bea0f.root   | (None) | ad:3ebc79e0 | 4.273 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/591544e5-400c-462f-b29c-6a0639a96aea.root   | (None) | ad:48cd764a | 4.170 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/595cc474-d784-4a86-bdbd-b03a11431189.root   | (None) | ad:74ce7500 | 3.852 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5a55de91-715a-4818-8882-c590dd7e4cc6.root   | (None) | ad:0bf09962 | 2.995 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5aa8a1e8-cf44-4b5d-9c8f-76e4f320af16.root   | (None) | ad:32684051 | 4.055 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5abd2842-ae9a-4be4-abae-7da9ae7c7da3.root   | (None) | ad:0db57345 | 4.137 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5b4eecc2-5b73-4918-aa26-9e8c90cce960.root   | (None) | ad:0a2957ff | 4.013 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5b837eaa-9dd2-4624-9943-a760a21d4364.root   | (None) | ad:4fc380bb | 3.685 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5bdfb000-ad94-49a6-b68f-9c0d53c63e8c.root   | (None) | ad:17b5ef25 | 3.138 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5d5d915f-95ce-4052-8787-1127a3bd07fe.root   | (None) | ad:a4908cab | 3.915 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5d6e1a85-0fcb-456c-a5e0-80551d9f0780.root   | (None) | ad:abceb840 | 4.084 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5d7ad858-99c3-4b3a-9f15-24f66275902a.root   | (None) | ad:8952fa49 | 3.240 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5d913a09-5f08-4ebc-8077-1be94216aaa7.root   | (None) | ad:a7f7ac03 | 4.090 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5da0d732-7fc7-4670-9045-4777828b8706.root   | (None) | ad:a04276be | 3.936 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5eb48541-187e-4e45-a581-e110854c25ea.root   | (None) | ad:c2dce1e6 | 3.449 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5f5bda23-550c-4e40-a705-ed673177b93e.root   | (None) | ad:53adfe8b | 3.125 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5fc7543b-d846-47c3-b855-8048a3d3a009.root   | (None) | ad:c3c4af10 | 4.200 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5fddec83-47d7-48d3-869c-470f142e41f5.root   | (None) | ad:c0af8ad2 | 4.051 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/5fea8754-4305-4510-bc52-85ae7e6507e1.root   | (None) | ad:98a150cc | 4.091 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/60b698a2-f8b9-498f-8e4a-28c2beeeb8d2.root   | (None) | ad:e7d65eab | 3.881 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/610ab7b8-8e0d-4e09-8b73-503188222955.root   | (None) | ad:7b131ff7 | 3.251 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/626580df-6843-4d03-b7ca-b28402bc33c5.root   | (None) | ad:ec774d0f | 3.939 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6452a748-a5c7-401f-9d29-09fd4dde85e4.root   | (None) | ad:e37330e7 | 3.834 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/654e3e3f-9359-4f5f-8f3f-ff0cf7a13b86.root   | (None) | ad:15f81fec | 3.776 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/670db858-050d-4d8c-8c8f-43d48e80abdd.root   | (None) | ad:77633652 | 3.056 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/68414bad-8788-4de4-9264-a16318fb7fad.root   | (None) | ad:795e60ca | 3.763 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/68b4a7ba-f5d4-48b0-883d-db43e566bf41.root   | (None) | ad:95fdddf5 | 3.992 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/69cce9c6-41f9-4ba3-8858-d115164bf4c4.root   | (None) | ad:f5bf39ad | 3.537 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6ae9e2da-399a-43fb-aad9-6b09e2052c74.root   | (None) | ad:37a049b3 | 3.071 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6b521370-d230-4da5-878f-240301fd2b1d.root   | (None) | ad:d040f07a | 3.678 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6c8a6bbc-c130-49dd-a358-8c9e39c24146.root   | (None) | ad:fbe546a2 | 4.233 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6d89ad0e-bd32-4d5c-8549-531f6ff87c8c.root   | (None) | ad:f2313ef9 | 3.706 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/6ddb0158-57cb-40dd-afe0-c506a9953b7d.root   | (None) | ad:c6f87f70 | 3.609 GB   |          |
