roll_name,det_id,area,is_front,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
W-1_RB2in_S08_Forward,637633457,21129.6,0,-375.661,-339.286,-303.9,-499.661,-124.512,-303.9,-499.661,-124.512,-389.1,-375.661,-339.286,-389.1
W-1_RB2out_S08_Backward,637569969,28991.2,0,-530.322,-141.406,-146.4,-406.322,-356.18,-146.4,-406.322,-356.18,-263.3,-530.322,-141.406,-263.3
W-1_RB2out_S08_Forward,637635505,31049.6,0,-530.322,-141.406,-263.9,-406.322,-356.18,-263.9,-406.322,-356.18,-389.1,-530.322,-141.406,-389.1
W-1_RB2in_S09_Backward,637568049,19071.2,0,-155.689,-481.661,-146.4,-370.463,-357.661,-146.4,-370.463,-357.661,-223.3,-155.689,-481.661,-223.3
W-1_RB2in_S09_Middle,637600817,19691.2,0,-155.689,-481.661,-223.9,-370.463,-357.661,-223.9,-370.463,-357.661,-303.3,-155.689,-481.661,-303.3
W-1_RB2in_S09_Forward,637633585,21129.6,0,-155.689,-481.661,-303.9,-370.463,-357.661,-303.9,-370.463,-357.661,-389.1,-155.689,-481.661,-389.1
W-1_RB2out_S09_Backward,637570097,28991.2,0,-388.569,-387.622,-146.4,-173.795,-511.622,-146.4,-173.795,-511.622,-263.3,-388.569,-387.622,-263.3
W-1_RB2out_S09_Forward,637635633,31049.6,0,-388.569,-387.622,-263.9,-173.795,-511.622,-263.9,-173.795,-511.622,-389.1,-388.569,-387.622,-389.1
W-1_RB2in_S10_Backward,637568177,19071.2,0,106,-494.975,-146.4,-142,-494.975,-146.4,-142,-494.975,-223.3,106,-494.975,-223.3
W-1_RB2in_S10_Middle,637600945,19691.2,0,106,-494.975,-223.9,-142,-494.975,-223.9,-142,-494.975,-303.3,106,-494.975,-303.3
W-1_RB2in_S10_Forward,637633713,21129.6,0,106,-494.975,-303.9,-142,-494.975,-303.9,-142,-494.975,-389.1,106,-494.975,-389.1
W-1_RB2out_S10_Backward,637570225,28991.2,0,-142.7,-529.975,-146.4,105.3,-529.975,-146.4,105.3,-529.975,-263.3,-142.7,-529.975,-263.3
W-1_RB2out_S10_Forward,637635761,31049.6,0,-142.7,-529.975,-263.9,105.3,-529.975,-263.9,105.3,-529.975,-389.1,-142.7,-529.975,-389.1
W-1_RB2in_S11_Backward,637568305,19071.2,0,339.286,-375.661,-146.4,124.512,-499.661,-146.4,124.512,-499.661,-223.3,339.286,-375.661,-223.3
W-1_RB2in_S11_Middle,637601073,19691.2,0,339.286,-375.661,-223.9,124.512,-499.661,-223.9,124.512,-499.661,-303.3,339.286,-375.661,-303.3
W-1_RB2in_S11_Forward,637633841,21129.6,0,339.286,-375.661,-303.9,124.512,-499.661,-303.9,124.512,-499.661,-389.1,339.286,-375.661,-389.1
W-1_RB2out_S11_Backward,637570353,28991.2,0,141.406,-530.322,-146.4,356.18,-406.322,-146.4,356.18,-406.322,-263.3,141.406,-530.322,-263.3
W-1_RB2out_S11_Forward,637635889,31049.6,0,141.406,-530.322,-263.9,356.18,-406.322,-263.9,356.18,-406.322,-389.1,141.406,-530.322,-389.1
W-1_RB2in_S12_Backward,637568433,19071.2,0,481.661,-155.689,-146.4,357.661,-370.463,-146.4,357.661,-370.463,-223.3,481.661,-155.689,-223.3
W-1_RB2in_S12_Middle,637601201,19691.2,0,481.661,-155.689,-223.9,357.661,-370.463,-223.9,357.661,-370.463,-303.3,481.661,-155.689,-303.3
W-1_RB2in_S12_Forward,637633969,21129.6,0,481.661,-155.689,-303.9,357.661,-370.463,-303.9,357.661,-370.463,-389.1,481.661,-155.689,-389.1
W-1_RB2out_S12_Backward,637570481,28991.2,0,387.622,-388.569,-146.4,511.622,-173.795,-146.4,511.622,-173.795,-263.3,387.622,-388.569,-263.3
W-1_RB2out_S12_Forward,637636017,31049.6,0,387.622,-388.569,-263.9,511.622,-173.795,-263.9,511.622,-173.795,-389.1,387.622,-388.569,-389.1
W-1_RB3-_S01_Backward,637567057,17301.2,0,602.15,17.4,-146.4,602.15,-130.6,-146.4,602.15,-130.6,-263.3,602.15,17.4,-263.3
W-1_RB3+_S01_Backward,637571153,17301.2,1,602.15,167.4,-146.4,602.15,19.4,-146.4,602.15,19.4,-263.3,602.15,167.4,-263.3
W-1_RB3-_S01_Forward,637632593,18529.6,0,602.15,17.4,-263.9,602.15,-130.6,-263.9,602.15,-130.6,-389.1,602.15,17.4,-389.1
W-1_RB3+_S01_Forward,637636689,18529.6,1,602.15,167.4,-263.9,602.15,19.4,-263.9,602.15,19.4,-389.1,602.15,167.4,-389.1
W-1_RB3-_S02_Backward,637567185,17301.2,0,512.777,316.144,-146.4,586.777,187.972,-146.4,586.777,187.972,-263.3,512.777,316.144,-263.3
W-1_RB3+_S02_Backward,637571281,17301.2,1,437.777,446.048,-146.4,511.777,317.876,-146.4,511.777,317.876,-263.3,437.777,446.048,-263.3
W-1_RB3-_S02_Forward,637632721,18529.6,0,512.777,316.144,-263.9,586.777,187.972,-263.9,586.777,187.972,-389.1,512.777,316.144,-389.1
W-1_RB3+_S02_Forward,637636817,18529.6,1,437.777,446.048,-263.9,511.777,317.876,-263.9,511.777,317.876,-389.1,437.777,446.048,-389.1
W-1_RB3-_S03_Backward,637567313,14415.2,0,286.006,530.177,-185.4,414.178,456.177,-185.4,414.178,456.177,-282.8,286.006,530.177,-282.8
W-1_RB3+_S03_Backward,637571409,14415.2,1,156.102,605.177,-185.4,284.274,531.177,-185.4,284.274,531.177,-282.8,156.102,605.177,-282.8
W-1_RB3-_S03_Forward,637632849,15643.6,0,286.006,530.177,-283.4,414.178,456.177,-283.4,414.178,456.177,-389.1,286.006,530.177,-389.1
W-1_RB3+_S03_Forward,637636945,15643.6,1,156.102,605.177,-283.4,284.274,531.177,-283.4,284.274,531.177,-389.1,156.102,605.177,-389.1
W-1_RB3-_S04_Backward,637567441,17301.2,0,-17.4,602.15,-146.4,130.6,602.15,-146.4,130.6,602.15,-263.3,-17.4,602.15,-263.3
W-1_RB3+_S04_Backward,637571537,17301.2,1,-167.4,602.15,-146.4,-19.4,602.15,-146.4,-19.4,602.15,-263.3,-167.4,602.15,-263.3
W-1_RB3-_S04_Forward,637632977,18529.6,0,-17.4,602.15,-263.9,130.6,602.15,-263.9,130.6,602.15,-389.1,-17.4,602.15,-389.1
W-1_RB3+_S04_Forward,637637073,18529.6,1,-167.4,602.15,-263.9,-19.4,602.15,-263.9,-19.4,602.15,-389.1,-167.4,602.15,-389.1
W-1_RB3-_S05_Backward,637567569,17301.2,0,-316.144,512.777,-146.4,-187.972,586.777,-146.4,-187.972,586.777,-263.3,-316.144,512.777,-263.3
W-1_RB3+_S05_Backward,637571665,17301.2,1,-446.048,437.777,-146.4,-317.876,511.777,-146.4,-317.876,511.777,-263.3,-446.048,437.777,-263.3
W-1_RB3-_S05_Forward,637633105,18529.6,0,-316.144,512.777,-263.9,-187.972,586.777,-263.9,-187.972,586.777,-389.1,-316.144,512.777,-389.1
W-1_RB3+_S05_Forward,637637201,18529.6,1,-446.048,437.777,-263.9,-317.876,511.777,-263.9,-317.876,511.777,-389.1,-446.048,437.777,-389.1
W-1_RB3-_S06_Backward,637567697,17301.2,0,-530.177,286.006,-146.4,-456.177,414.178,-146.4,-456.177,414.178,-263.3,-530.177,286.006,-263.3
W-1_RB3+_S06_Backward,637571793,17301.2,1,-605.177,156.102,-146.4,-531.177,284.274,-146.4,-531.177,284.274,-263.3,-605.177,156.102,-263.3
W-1_RB3-_S06_Forward,637633233,18529.6,0,-530.177,286.006,-263.9,-456.177,414.178,-263.9,-456.177,414.178,-389.1,-530.177,286.006,-389.1
W-1_RB3+_S06_Forward,637637329,18529.6,1,-605.177,156.102,-263.9,-531.177,284.274,-263.9,-531.177,284.274,-389.1,-605.177,156.102,-389.1
W-1_RB3-_S07_Backward,637567825,17301.2,0,-602.15,-17.4,-146.4,-602.15,130.6,-146.4,-602.15,130.6,-263.3,-602.15,-17.4,-263.3
W-1_RB3+_S07_Backward,637571921,17301.2,1,-602.15,-167.4,-146.4,-602.15,-19.4,-146.4,-602.15,-19.4,-263.3,-602.15,-167.4,-263.3
W-1_RB3-_S07_Forward,637633361,18529.6,0,-602.15,-17.4,-263.9,-602.15,130.6,-263.9,-602.15,130.6,-389.1,-602.15,-17.4,-389.1
