Type                                  Module                      Label             Process        Full Name
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedMuonReducedTrackExtras"   ""                "RECO"         TrackingRecHitsOwned_displacedMuonReducedTrackExtras__RECO
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "RECO"         TrackingRecHitsOwned_displacedStandAloneMuons__RECO
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "muonReducedTrackExtras"    ""                "RECO"         TrackingRecHitsOwned_muonReducedTrackExtras__RECO
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"         TrackingRecHitsOwned_refittedStandAloneMuons__RECO
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"         TrackingRecHitsOwned_standAloneMuons__RECO
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "csc2DRecHits"              ""                "RECO"         CSCDetIdCSCRecHit2DsOwnedRangeMap_csc2DRecHits__RECO
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "RECO"         CSCDetIdCSCSegmentsOwnedRangeMap_cscSegments__RECO
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "RECO"         DTChamberIdDTRecSegment4DsOwnedRangeMap_dt4DCosmicSegments__RECO
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "RECO"         DTChamberIdDTRecSegment4DsOwnedRangeMap_dt4DSegments__RECO
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "dt1DRecHits"               ""                "RECO"         DTLayerIdDTRecHit1DPairsOwnedRangeMap_dt1DRecHits__RECO
edm::RangeMap<GEMDetId,edm::OwnVector<GEMRecHit,edm::ClonePolicy<GEMRecHit> >,edm::ClonePolicy<GEMRecHit> >    "gemRecHits"                ""                "RECO"         GEMDetIdGEMRecHitsOwnedRangeMap_gemRecHits__RECO
edm::RangeMap<GEMDetId,edm::OwnVector<GEMSegment,edm::ClonePolicy<GEMSegment> >,edm::ClonePolicy<GEMSegment> >    "gemSegments"               ""                "RECO"         GEMDetIdGEMSegmentsOwnedRangeMap_gemSegments__RECO
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "RECO"         RPCDetIdRPCRecHitsOwnedRangeMap_rpcRecHits__RECO
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "RECO"         EcalRecHitsSorted_reducedEcalRecHitsEB__RECO
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "RECO"         EcalRecHitsSorted_reducedEcalRecHitsEE__RECO
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "RECO"         EcalRecHitsSorted_reducedEcalRecHitsES__RECO
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "RECO"         HBHERecHitsSorted_reducedHcalRecHits_hbhereco_RECO
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RECO"         HFRecHitsSorted_reducedHcalRecHits_hfreco_RECO
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RECO"         HORecHitsSorted_reducedHcalRecHits_horeco_RECO
edm::TriggerResults                   "TriggerResults"            ""                "RECO"         edmTriggerResults_TriggerResults__RECO
edm::TriggerResults                   "l1bits"                    ""                "RECO"         edmTriggerResults_l1bits__RECO
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "RECO"         booledmValueMap_chargedHadronPFTrackIsolation__RECO
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RECO"         booledmValueMap_PhotonIDProd_PhotonCutBasedIDLoose_RECO
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "RECO"         booledmValueMap_PhotonIDProdGED_PhotonCutBasedIDLoose_RECO
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RECO"         booledmValueMap_PhotonIDProd_PhotonCutBasedIDLooseEM_RECO
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "RECO"         booledmValueMap_PhotonIDProdGED_PhotonCutBasedIDLooseEM_RECO
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RECO"         booledmValueMap_PhotonIDProd_PhotonCutBasedIDTight_RECO
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "RECO"         booledmValueMap_PhotonIDProdGED_PhotonCutBasedIDTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RECO"         booledmValueMap_muons_muidAllArbitrated_RECO
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RECO"         booledmValueMap_muons_muidGMStaChiCompatibility_RECO
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"         booledmValueMap_muons_muidGMTkChiCompatibility_RECO
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"         booledmValueMap_muons_muidGMTkKinkTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"         booledmValueMap_muons_muidGlobalMuonPromptTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RECO"         booledmValueMap_muons_muidRPCMuLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"         booledmValueMap_muons_muidTM2DCompatibilityLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"         booledmValueMap_muons_muidTM2DCompatibilityTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"         booledmValueMap_muons_muidTMLastStationAngLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"         booledmValueMap_muons_muidTMLastStationAngTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"         booledmValueMap_muons_muidTMLastStationLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"         booledmValueMap_muons_muidTMLastStationOptimizedLowPtLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"         booledmValueMap_muons_muidTMLastStationOptimizedLowPtTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"         booledmValueMap_muons_muidTMLastStationTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"         booledmValueMap_muons_muidTMOneStationAngLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"         booledmValueMap_muons_muidTMOneStationAngTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"         booledmValueMap_muons_muidTMOneStationLoose_RECO
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"         booledmValueMap_muons_muidTMOneStationTight_RECO
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"         booledmValueMap_muons_muidTrackerMuonArbitrated_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueCharged03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueCharged04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueChargedAll03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueChargedAll04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueGamma03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueGamma04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueGammaHighThreshold03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueGammaHighThreshold04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueNeutral03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueNeutral04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueNeutralHighThreshold03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValueNeutralHighThreshold04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValuePU03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFMeanDRIsoValuePU04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueCharged03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueCharged04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueChargedAll03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueChargedAll04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueGamma03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueGamma04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueGammaHighThreshold03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueGammaHighThreshold04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueNeutral03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueNeutral04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueNeutralHighThreshold03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValueNeutralHighThreshold04_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU03"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValuePU03_RECO
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU04"   "RECO"         doubleedmValueMap_displacedMuons_dispMuPFSumDRIsoValuePU04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueCharged03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueCharged04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueChargedAll03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueChargedAll04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueGamma03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueGamma04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueGammaHighThreshold03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueGammaHighThreshold04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueNeutral03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueNeutral04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueNeutralHighThreshold03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValueNeutralHighThreshold04_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValuePU03_RECO
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "RECO"         doubleedmValueMap_muons_muPFMeanDRIsoValuePU04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueCharged03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueCharged04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueChargedAll03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueChargedAll04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueGamma03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueGamma04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueGammaHighThreshold03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueGammaHighThreshold04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueNeutral03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueNeutral04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueNeutralHighThreshold03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValueNeutralHighThreshold04_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValuePU03_RECO
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "RECO"         doubleedmValueMap_muons_muPFSumDRIsoValuePU04_RECO
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "RECO"         recoPFCandidateedmPtredmValueMap_particleFlow_electrons_RECO
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "RECO"         recoPFCandidateedmPtredmValueMap_particleFlow_muons_RECO
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "RECO"         recoPFCandidateedmPtredmValueMap_particleFlow_photons_RECO
edm::ValueMap<float>                  "ak8PFJetsPuppiSoftDropMass"   ""                "RECO"         floatedmValueMap_ak8PFJetsPuppiSoftDropMass__RECO
edm::ValueMap<float>                  "eidLoose"                  ""                "RECO"         floatedmValueMap_eidLoose__RECO
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "RECO"         floatedmValueMap_eidRobustHighEnergy__RECO
edm::ValueMap<float>                  "eidRobustLoose"            ""                "RECO"         floatedmValueMap_eidRobustLoose__RECO
edm::ValueMap<float>                  "eidRobustTight"            ""                "RECO"         floatedmValueMap_eidRobustTight__RECO
edm::ValueMap<float>                  "eidTight"                  ""                "RECO"         floatedmValueMap_eidTight__RECO
edm::ValueMap<float>                  "lowPtGsfElectronID"        ""                "RECO"         floatedmValueMap_lowPtGsfElectronID__RECO
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "RECO"         floatedmValueMap_offlinePrimaryVertices__RECO
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "RECO"         floatedmValueMap_offlinePrimaryVerticesWithBS__RECO
edm::ValueMap<float>                  "puppi"                     ""                "RECO"         floatedmValueMap_puppi__RECO
edm::ValueMap<float>                  "puppiNoLep"                ""                "RECO"         floatedmValueMap_puppiNoLep__RECO
edm::ValueMap<float>                  "lowPtGsfElectronSeedValueMaps"   "ptbiased"        "RECO"         floatedmValueMap_lowPtGsfElectronSeedValueMaps_ptbiased_RECO
edm::ValueMap<float>                  "rekeyLowPtGsfElectronSeedValueMaps"   "ptbiased"        "RECO"         floatedmValueMap_rekeyLowPtGsfElectronSeedValueMaps_ptbiased_RECO
edm::ValueMap<float>                  "lowPtGsfElectronSeedValueMaps"   "unbiased"        "RECO"         floatedmValueMap_lowPtGsfElectronSeedValueMaps_unbiased_RECO
edm::ValueMap<float>                  "rekeyLowPtGsfElectronSeedValueMaps"   "unbiased"        "RECO"         floatedmValueMap_rekeyLowPtGsfElectronSeedValueMaps_unbiased_RECO
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "RECO"         intedmValueMap_offlinePrimaryVertices__RECO
edm::ValueMap<int>                    "offlinePrimaryVerticesWithBS"   ""                "RECO"         intedmValueMap_offlinePrimaryVerticesWithBS__RECO
edm::ValueMap<int>                    "dedxHitInfo"               "prescale"        "RECO"         intedmValueMap_dedxHitInfo_prescale_RECO
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "RECO"         recoDeDxDataedmValueMap_dedxHarmonic2__RECO
edm::ValueMap<reco::DeDxData>         "dedxPixelHarmonic2"        ""                "RECO"         recoDeDxDataedmValueMap_dedxPixelHarmonic2__RECO
edm::ValueMap<reco::JetID>            "ak4JetID"                  ""                "RECO"         recoJetIDedmValueMap_ak4JetID__RECO
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "RECO"         recoMuonCosmicCompatibilityedmValueMap_muons_cosmicsVeto_RECO
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "RECO"         recoMuonMETCorrectionDataedmValueMap_muonMETValueMapProducer_muCorrData_RECO
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "RECO"         recoMuonShoweredmValueMap_muons_muonShowerInformation_RECO
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "combined"        "RECO"         recoMuonTimeExtraedmValueMap_displacedMuons_combined_RECO
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "RECO"         recoMuonTimeExtraedmValueMap_muons_combined_RECO
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "csc"             "RECO"         recoMuonTimeExtraedmValueMap_displacedMuons_csc_RECO
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "RECO"         recoMuonTimeExtraedmValueMap_muons_csc_RECO
edm::ValueMap<reco::MuonTimeExtra>    "displacedMuons"            "dt"              "RECO"         recoMuonTimeExtraedmValueMap_displacedMuons_dt_RECO
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "RECO"         recoMuonTimeExtraedmValueMap_muons_dt_RECO
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauBasicDiscriminators"   ""                "RECO"         recoSingleTauDiscriminatorContaineredmValueMap_hpsPFTauBasicDiscriminators__RECO
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauBasicDiscriminatorsdR03"   ""                "RECO"         recoSingleTauDiscriminatorContaineredmValueMap_hpsPFTauBasicDiscriminatorsdR03__RECO
edm::ValueMap<reco::SingleTauDiscriminatorContainer>    "hpsPFTauDiscriminationByMuonRejection3"   ""                "RECO"         recoSingleTauDiscriminatorContaineredmValueMap_hpsPFTauDiscriminationByMuonRejection3__RECO
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "RECO"         recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap_particleBasedIsolation_gedGsfElectrons_RECO
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "RECO"         recoPFCandidatesrecoPFCandidaterecoPFCandidatesrecoPFCandidateedmrefhelperFindUsingAdvanceedmRefsedmValueMap_particleBasedIsolation_gedPhotons_RECO
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "RECO"         uintedmValueMap_muons_cosmicsVeto_RECO
edmNew::DetSetVector<SiPixelCluster>    "displacedMuonReducedTrackExtras"   ""                "RECO"         SiPixelClusteredmNewDetSetVector_displacedMuonReducedTrackExtras__RECO
edmNew::DetSetVector<SiPixelCluster>    "muonReducedTrackExtras"    ""                "RECO"         SiPixelClusteredmNewDetSetVector_muonReducedTrackExtras__RECO
edmNew::DetSetVector<SiStripCluster>    "displacedMuonReducedTrackExtras"   ""                "RECO"         SiStripClusteredmNewDetSetVector_displacedMuonReducedTrackExtras__RECO
edmNew::DetSetVector<SiStripCluster>    "muonReducedTrackExtras"    ""                "RECO"         SiStripClusteredmNewDetSetVector_muonReducedTrackExtras__RECO
edmNew::DetSetVector<TotemT2Digi>     "totemT2Digis"              "TotemT2"         "RECO"         TotemT2DigiedmNewDetSetVector_totemT2Digis_TotemT2_RECO
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "RECO"         recoBeamHaloSummary_BeamHaloSummary__RECO
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"         recoBeamSpot_offlineBeamSpot__RECO
reco::BeamSpot                        "onlineMetaDataDigis"       ""                "RECO"         recoBeamSpot_onlineMetaDataDigis__RECO
reco::CSCHaloData                     "CSCHaloData"               ""                "RECO"         recoCSCHaloData_CSCHaloData__RECO
reco::GlobalHaloData                  "GlobalHaloData"            ""                "RECO"         recoGlobalHaloData_GlobalHaloData__RECO
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDeadECALElectronRejection"   ""                "RECO"         recoPFTauDiscriminator_hpsPFTauDiscriminationByDeadECALElectronRejection__RECO
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFinding"   ""                "RECO"         recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFinding__RECO
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingNewDMs"   ""                "RECO"         recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFindingNewDMs__RECO
reco::PFTauDiscriminator              "hpsPFTauDiscriminationByDecayModeFindingOldDMs"   ""                "RECO"         recoPFTauDiscriminator_hpsPFTauDiscriminationByDecayModeFindingOldDMs__RECO
vector<BeamSpotOnline>                "scalersRawToDigi"          ""                "RECO"         BeamSpotOnlines_scalersRawToDigi__RECO
vector<CTPPSLocalTrackLite>           "ctppsLocalTrackLiteProducer"   ""                "RECO"         CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO
vector<DcsStatus>                     "scalersRawToDigi"          ""                "RECO"         DcsStatuss_scalersRawToDigi__RECO
vector<L1AcceptBunchCrossing>         "scalersRawToDigi"          ""                "RECO"         L1AcceptBunchCrossings_scalersRawToDigi__RECO
vector<L1TriggerScalers>              "scalersRawToDigi"          ""                "RECO"         L1TriggerScalerss_scalersRawToDigi__RECO
vector<Level1TriggerScalers>          "scalersRawToDigi"          ""                "RECO"         Level1TriggerScalerss_scalersRawToDigi__RECO
vector<LumiScalers>                   "scalersRawToDigi"          ""                "RECO"         LumiScalerss_scalersRawToDigi__RECO
vector<TotemFEDInfo>                  "ctppsDiamondRawToDigi"     "TimingDiamond"   "RECO"         TotemFEDInfos_ctppsDiamondRawToDigi_TimingDiamond_RECO
vector<TotemFEDInfo>                  "totemT2Digis"              "TotemT2"         "RECO"         TotemFEDInfos_totemT2Digis_TotemT2_RECO
