Type                                  Module                      Label             Process        Full Name
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy4"   "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShowerCopy4_RECO
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy5"   "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShowerCopy5_RECO
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "RECO"         l1tRegionalMuonCandBXVector_gmtStage2Digis_BMTF_RECO
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "RECO"         l1tRegionalMuonCandBXVector_gmtStage2Digis_EMTF_RECO
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "RECO"         l1tRegionalMuonCandBXVector_gmtStage2Digis_OMTF_RECO
BXVector<l1t::RegionalMuonShower>     "gmtStage2Digis"            "EMTF"            "RECO"         l1tRegionalMuonShowerBXVector_gmtStage2Digis_EMTF_RECO
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "RECO"         l1tTauBXVector_caloStage2Digis_MP_RECO
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "RECO"         l1tTauBXVector_caloStage2Digis_Tau_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau"             "RECO"         l1tTauBXVector_gtStage2Digis_Tau_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau2"            "RECO"         l1tTauBXVector_gtStage2Digis_Tau2_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau3"            "RECO"         l1tTauBXVector_gtStage2Digis_Tau3_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau4"            "RECO"         l1tTauBXVector_gtStage2Digis_Tau4_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau5"            "RECO"         l1tTauBXVector_gtStage2Digis_Tau5_RECO
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau6"            "RECO"         l1tTauBXVector_gtStage2Digis_Tau6_RECO
CTPPSRecord                           "onlineMetaDataDigis"       ""                "RECO"         CTPPSRecord_onlineMetaDataDigis__RECO
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"         ClusterSummary_clusterSummaryProducer__RECO
DCSRecord                             "onlineMetaDataDigis"       ""                "RECO"         DCSRecord_onlineMetaDataDigis__RECO
