#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
367905:8822,05/24/23 19:51:09,63,49,0.030270341,0.021327874
367906:8822,05/24/23 20:15:19,351,344,0.168779046,0.151127095
367907:8822,05/24/23 22:31:39,127,120,0.060818742,0.051121005
367908:8822,05/24/23 23:20:48,361,358,0.154205879,0.143386752
367909:8822,05/25/23 01:41:02,9,2,0.003450582,0.000005620
367910:8822,05/25/23 01:44:16,594,594,0.198072793,0.191263466
368120:8842,05/29/23 22:14:16,11,0,0.000003890,0
368121:8842,05/29/23 22:18:25,41,41,0.000016817,0.000016664
368221:8850,05/30/23 17:01:42,1,0,0.000000012,0
368223:8850,05/30/23 17:12:25,490,486,0.054139561,0.046262203
368224:8850,05/30/23 20:22:22,63,63,0.007674683,0.007035724
368229:8853,05/31/23 00:05:21,552,552,0.101305157,0.096309933
368318:8858,06/01/23 13:03:30,300,295,0.070143107,0.064742814
368320:8858,06/01/23 14:59:30,289,286,0.082301694,0.078054406
368321:8858,06/01/23 16:51:29,345,344,0.084087277,0.079976929
368331:8860,06/01/23 21:56:28,64,60,0.008004307,0.006593013
368332:8860,06/01/23 22:20:51,20,17,0.003458996,0.002382531
368333:8860,06/01/23 22:28:24,28,25,0.005523705,0.004056703
368334:8860,06/01/23 22:39:12,22,7,0.004683634,0.000853677
368336:8860,06/01/23 22:47:24,222,214,0.072163573,0.057514800
368337:8860,06/02/23 00:13:35,24,17,0.008425561,0.000000734
368338:8860,06/02/23 00:22:40,18,9,0.006386761,0.000000212
368339:8860,06/02/23 00:29:19,14,5,0.004930240,0.000063471
368340:8860,06/02/23 00:34:40,20,16,0.006933393,0.000087460
368341:8860,06/02/23 00:42:23,39,33,0.013191413,0.010333397
368343:8860,06/02/23 00:57:27,1139,1139,0.282982865,0.270438084
368382:8863,06/02/23 15:57:31,787,781,0.226680063,0.213189030
368383:8863,06/02/23 21:02:54,33,26,0.009158192,0.006475893
368384:8863,06/02/23 21:15:40,45,45,0.012152629,0.011476089
368388:8865,06/03/23 00:17:41,1450,1446,0.380182533,0.361357860
368389:8865,06/03/23 09:40:43,202,202,0.036256491,0.034842474
368400:8866,06/03/23 12:45:28,246,246,0.070955160,0.066919644
368409:8870,06/03/23 23:30:10,1,0,0.000000108,0.000000049
368410:8870,06/03/23 23:40:24,1492,1488,0.447445500,0.424378972
368411:8870,06/04/23 09:19:53,14,7,0.003072396,0.001331739
368412:8870,06/04/23 09:25:10,102,102,0.020256204,0.019204216
368423:8872,06/04/23 14:09:54,487,487,0.202096840,0.192552112
368429:8873,06/04/23 19:19:50,47,0,0.009252237,0
368437:8873,06/04/23 19:37:44,37,6,0.010554492,0.001314371
368440:8873,06/04/23 19:51:48,358,352,0.164042956,0.144204923
368442:8873,06/04/23 22:10:52,5,3,0.002406470,0.000005853
368443:8873,06/04/23 22:12:47,170,73,0.079366251,0.033516967
368451:8873,06/04/23 23:18:32,154,145,0.065706705,0.056783796
368452:8873,06/05/23 00:18:15,12,3,0.004847586,0.000172674
368453:8873,06/05/23 00:22:36,11,6,0.004420238,0.000300454
368454:8873,06/05/23 00:26:43,1174,1174,0.345406866,0.331307161
368489:8877,06/05/23 13:00:42,1564,1563,0.546045258,0.523780030
368542:8880,06/06/23 03:43:10,51,41,0.009488289,0.006734541
368546:8880,06/06/23 04:02:45,666,659,0.299913343,0.276815624
368547:8880,06/06/23 08:21:16,723,702,0.262800398,0.235677174
368548:8880,06/06/23 13:02:11,1051,1051,0.249808534,0.240519875
368563:8882,06/06/23 22:15:28,17,2,0.000002438,0.000000202
368565:8882,06/06/23 22:21:44,42,34,0.003582429,0.001147694
368566:8882,06/06/23 22:37:56,1201,1195,0.501223128,0.471112732
368567:8882,06/07/23 06:24:21,440,440,0.130979311,0.125235808
368608:8885,06/08/23 00:09:40,10,0,0.000001341,0
368609:8885,06/08/23 00:13:15,1067,1061,0.431038495,0.409258461
368610:8885,06/08/23 07:07:43,6,2,0.002115820,0.000005282
368611:8885,06/08/23 07:09:42,415,410,0.131011369,0.124488087
368612:8885,06/08/23 09:50:54,13,7,0.003657222,0.001757696
368613:8885,06/08/23 09:55:55,268,268,0.070205223,0.067605700
368636:8887,06/08/23 21:24:44,789,789,0.329338105,0.314392054
368668:8891,06/09/23 12:50:48,11,0,0.000001869,0
368669:8891,06/09/23 12:54:44,416,410,0.168822896,0.157505610
368670:8891,06/09/23 15:36:19,315,308,0.145583632,0.112801902
368671:8891,06/09/23 17:38:43,4,1,0.001772912,0.000010199
368672:8891,06/09/23 17:40:15,937,933,0.318303913,0.303994521
368673:8891,06/09/23 23:44:02,118,11,0.029902141,0.002476428
368674:8891,06/10/23 00:29:40,17,11,0.004195117,0.002358529
368675:8891,06/10/23 00:36:10,57,50,0.013746889,0.010842276
368676:8891,06/10/23 00:58:18,165,156,0.037827718,0.034363437
368678:8891,06/10/23 02:02:09,174,174,0.037037273,0.035672310
368684:8894,06/10/23 07:08:02,119,110,0.033659338,0.027021857
368685:8894,06/10/23 07:53:33,1481,1481,0.580596667,0.556412262
368723:8895,06/10/23 23:57:57,168,162,0.052260613,0.043114978
368724:8895,06/11/23 01:02:33,1201,1201,0.518676266,0.493084860
368746:8896,06/11/23 11:22:55,66,50,0.016344113,0.010559679
368748:8896,06/11/23 11:47:58,12,6,0.004182717,0.000000347
368749:8896,06/11/23 11:52:38,178,170,0.080688364,0.071292651
368750:8896,06/11/23 13:01:44,6,2,0.002806631,0.000000075
368751:8896,06/11/23 13:03:48,10,3,0.004661680,0.000036949
368752:8896,06/11/23 13:07:25,8,3,0.003712251,0.000000499
368753:8896,06/11/23 13:10:11,977,977,0.426361923,0.405977587
368762:8896,06/11/23 22:32:53,219,209,0.081536334,0.071323170
368763:8896,06/11/23 23:57:18,12,4,0.005668576,0.000040072
368764:8896,06/12/23 00:01:58,15,4,0.007028513,0.000730713
368765:8896,06/12/23 00:07:45,1386,1386,0.553677409,0.531150660
368822:8901,06/13/23 02:22:26,968,963,0.418001270,0.395461986
368823:8901,06/13/23 08:38:00,61,61,0.024542979,0.021009218
369005:8957,06/17/23 00:58:39,695,0,0.005398875,0
369047:8961,06/17/23 13:39:30,277,269,0.000000034,0.000000033
369048:8961,06/17/23 15:26:52,471,61,0.000000055,0.000000007
369554:8981,06/25/23 00:39:27,20,0,0,0
369556:8981,06/25/23 00:46:54,220,220,0.000000129,0.000000127
369558:8982,06/25/23 03:39:41,12,0,0,0
369560:8982,06/25/23 03:44:16,208,208,0.000000008,0.000000008
369568:8984,06/25/23 07:58:36,24,4,0.000000001,0
369570:8984,06/25/23 08:07:21,34,24,0.000000002,0
369571:8984,06/25/23 08:20:29,44,33,0.000000015,0.000000006
369572:8984,06/25/23 08:37:16,61,54,0.000000047,0.000000041
369573:8984,06/25/23 09:00:43,98,93,0.000000073,0.000000068
369574:8984,06/25/23 09:38:47,44,40,0.000000032,0.000000028
369575:8984,06/25/23 09:55:45,40,34,0.000000029,0.000000023
369576:8984,06/25/23 10:11:13,47,44,0.000000031,0.000000028
369577:8984,06/25/23 10:29:14,42,36,0.000000027,0.000000023
369578:8984,06/25/23 10:45:14,67,48,0.000000043,0.000000030
369579:8984,06/25/23 11:11:08,13,9,0.000000008,0
369580:8984,06/25/23 11:15:50,84,79,0.000000054,0.000000032
369581:8984,06/25/23 11:48:23,50,45,0.000000032,0.000000027
369582:8984,06/25/23 12:07:37,83,76,0.000000052,0.000000047
369583:8984,06/25/23 12:39:30,51,45,0.000000032,0.000000028
369584:8984,06/25/23 12:59:03,42,39,0.000000026,0.000000023
369585:8984,06/25/23 13:15:12,135,127,0.000000083,0.000000076
369586:8984,06/25/23 14:07:31,25,6,0.000000015,0
369587:8984,06/25/23 14:17:10,53,6,0.000000032,0.000000003
369588:8984,06/25/23 14:37:42,11,2,0.000000007,0
369589:8984,06/25/23 14:41:50,13,3,0.000000008,0
369590:8984,06/25/23 14:46:50,23,3,0.000000014,0
369591:8984,06/25/23 14:55:38,350,341,0.000000214,0.000000208
369592:8984,06/25/23 17:11:21,54,46,0.000000033,0.000000028
369593:8984,06/25/23 17:32:18,32,26,0.000000020,0.000000016
369594:8984,06/25/23 17:44:40,17,13,0.000000011,0.000000008
369595:8984,06/25/23 17:51:03,21,10,0.000000013,0.000000006
369596:8984,06/25/23 17:58:53,520,518,0.000000326,0.000000325
369605:8985,06/25/23 23:21:35,8,0,0,0
369606:8985,06/25/23 23:24:29,108,108,0,0
369684:8989,06/26/23 17:04:43,81,78,0.000003701,0.000003468
369687:8989,06/26/23 17:35:49,621,621,0.000018125,0.000017943
369693:8990,06/26/23 23:25:30,7,0,0,0
369694:8990,06/26/23 23:28:04,321,321,0.000011471,0.000011363
369792:8997,06/28/23 10:16:10,20,0,0.000000006,0
369794:8997,06/28/23 10:23:34,953,945,0.000203346,0.000198149
369795:8997,06/28/23 16:33:36,62,16,0.000013327,0.000002946
369797:8997,06/28/23 17:03:06,40,40,0.000003489,0.000003425
369802:8999,06/28/23 20:02:02,3506,3506,0.000607357,0.000596301
369844:9003,06/30/23 04:10:22,83,83,0.000001200,0.000001187
369852:9004,06/30/23 06:29:14,1,0,0,0
369854:9004,06/30/23 06:33:13,3,3,0,0
369867:9007,06/30/23 11:10:21,52,40,0.000740264,0.000526538
369869:9007,06/30/23 11:30:20,439,430,0.006037191,0.005877320
369870:9007,06/30/23 14:20:32,290,278,0.007262573,0.006836830
369872:9007,06/30/23 16:13:05,419,412,0.008612984,0.008223039
369873:9007,06/30/23 18:55:44,197,197,0.005439231,0.005230959
369901:9014,07/01/23 07:06:01,22,22,0.000321753,0.000310468
369910:9015,07/01/23 08:57:34,1,0,0.000000002,0.000000002
369911:9015,07/01/23 09:15:54,7,7,0.000098258,0.000094994
369927:9016,07/01/23 12:22:55,358,358,0.003353792,0.003284921
369937:9017,07/01/23 16:41:13,142,135,0.006888573,0.006225112
369938:9017,07/01/23 17:36:03,185,162,0.014293932,0.011645420
369941:9017,07/01/23 18:47:40,12,4,0.000921973,0.000000113
369942:9017,07/01/23 18:51:59,103,94,0.008080061,0.007216336
369943:9017,07/01/23 19:31:56,391,391,0.030126450,0.029361016
369951:9018,07/01/23 23:39:32,219,219,0.000015370,0.000015277
369956:9019,07/02/23 03:19:26,1059,1059,0.091748685,0.089213376
369978:9022,07/02/23 16:18:12,799,799,0.173922558,0.167130329
369994:9023,07/02/23 23:52:42,100,80,0.016899247,0.012131290
369998:9023,07/03/23 00:31:00,185,179,0.061360684,0.054461765
369999:9023,07/03/23 01:42:37,48,41,0.018928437,0.014624214
370000:9023,07/03/23 02:01:15,224,224,0.065453850,0.063313829
370091:9029,07/03/23 23:25:40,65,55,0.015486905,0.012062877
370092:9029,07/03/23 23:50:16,6,3,0.001436547,0.000089991
370093:9029,07/03/23 23:52:20,461,450,0.161616756,0.149639451
370094:9029,07/04/23 02:51:17,8,3,0.003578488,0.000007856
370095:9029,07/04/23 02:54:18,353,347,0.101951383,0.095784461
370096:9029,07/04/23 05:11:10,9,3,0.003681222,0.000780126
370097:9029,07/04/23 05:14:27,374,356,0.140284807,0.126885873
370100:9029,07/04/23 07:39:36,10,3,0.003344738,0.000000674
370101:9029,07/04/23 07:43:25,13,5,0.004308261,0.000000280
370102:9029,07/04/23 07:48:16,767,765,0.209434845,0.201069926
